Date,Region,Sales_Rep,Product,Units_Sold,Unit_Price,Customer_Type,Revenue
2024-01-29,East,Rep_6,Widget B,1,177.27,New,177.27
2024-04-27,North,Rep_2,Premium Pack,44,54.97,Repeat,2418.68
2024-01-17,South,Rep_8,Widget A,8,182.46,Repeat,1459.68
2024-06-10,South,Rep_2,Widget B,24,122.46,New,2939.04
2024-07-24,South,Rep_3,Premium Pack,11,76.54,Repeat,841.94
2024-05-17,West,Rep_4,Widget C,17,144.55,Repeat,2457.35
2024-02-03,South,Rep_7,Widget A,8,101.52,Repeat,812.16
2024-04-18,South,Rep_9,Premium Pack,35,81.82,Repeat,2863.7
2024-10-17,North,Rep_6,Widget A,35,143.97,New,5038.95
2024-06-10,West,Rep_2,Premium Pack,33,57.26,Repeat,1889.58
2024-04-18,West,Rep_7,Widget C,5,72.75,Repeat,363.75
2024-12-01,East,Rep_1,Widget B,42,92.55,New,3887.1
2024-09-12,West,Rep_5,Premium Pack,39,58.2,New,1361.88
2024-07-21,West,Rep_9,Widget A,41,86.99,New,3566.59
2024-11-25,North,Rep_2,Widget C,28,118.58,Repeat,3320.24
2024-08-22,South,Rep_8,Widget B,7,150.79,Repeat,1055.53
2024-03-14,West,Rep_6,Widget A,9,155.77,New,1401.93
2024-05-15,West,Rep_5,Widget C,8,166.33,Repeat,1330.64
2024-03-12,North,Rep_10,Widget A,12,151.4,Repeat,1816.8
2024-05-06,West,Rep_7,Widget C,34,139.4,New,4739.6
2024-10-14,West,Rep_6,Widget B,33,55.13,Repeat,1091.5739999999998
2024-10-02,North,Rep_2,Widget B,48,86.04,Repeat,4129.92
2024-05-14,East,Rep_4,Widget A,23,100.77,New,2317.71
2024-10-26,East,Rep_8,Widget C,24,25.75,New,618.0
2024-08-07,West,Rep_1,Premium Pack,37,110.39,New,4084.43
2024-10-25,West,Rep_10,Widget B,35,92.9,Repeat,1950.8999999999999
2024-07-23,South,Rep_9,Premium Pack,44,162.4,New,7145.6
2024-07-04,West,Rep_6,Premium Pack,40,195.8,Repeat,7832.0
2024-04-22,South,Rep_10,Widget A,22,115.64,Repeat,2544.08
2024-03-11,East,Rep_4,Widget A,27,71.31,Repeat,1925.37
2024-09-17,West,Rep_2,Widget A,35,18.25,Repeat,383.25
2024-09-09,West,Rep_8,Widget C,1,185.68,New,111.408
2024-02-16,North,Rep_5,Widget B,35,184.63,New,6462.05
2024-01-25,West,Rep_7,Widget B,37,58.07,New,2148.59
2024-02-26,East,Rep_2,Premium Pack,47,142.13,Repeat,6680.11
2024-03-19,West,Rep_3,Widget A,14,24.33,Repeat,340.62
2024-11-17,South,Rep_1,Widget C,3,41.58,New,124.74
2024-03-22,West,Rep_1,Widget B,1,51.19,New,51.19
2024-12-14,South,Rep_5,Widget C,5,65.95,New,329.75
2024-08-04,North,Rep_8,Widget A,26,199.21,New,5179.46
2024-11-01,West,Rep_2,Widget A,14,142.42,New,1196.328
2024-02-02,North,Rep_2,Widget B,39,83.0,New,3237.0
2024-07-16,North,Rep_4,Premium Pack,27,150.05,Repeat,4051.35
2024-07-14,West,Rep_9,Premium Pack,9,183.9,Repeat,1655.1
2024-11-01,South,Rep_3,Widget A,15,192.15,New,2882.25
2024-08-27,West,Rep_7,Widget A,15,20.99,New,314.85
2024-09-27,South,Rep_8,Premium Pack,26,84.96,Repeat,2208.96
2024-05-08,North,Rep_6,Widget A,42,30.28,New,1271.76
2024-10-10,East,Rep_9,Widget B,13,73.78,Repeat,959.14
2024-01-06,West,Rep_7,Widget B,32,42.24,New,1351.68
2024-12-14,East,Rep_10,Widget C,39,132.9,Repeat,5183.1
2024-02-28,South,Rep_3,Premium Pack,49,83.77,New,4104.73
2024-12-15,West,Rep_7,Widget A,32,53.59,Repeat,1028.928
2024-10-01,East,Rep_2,Widget C,4,60.53,Repeat,242.12
2024-05-16,East,Rep_8,Widget B,30,78.47,New,2354.1
2024-11-24,West,Rep_10,Premium Pack,37,59.39,Repeat,1318.4579999999999
2024-06-23,East,Rep_7,Widget B,23,96.12,Repeat,2210.76
2024-02-27,West,Rep_5,Widget A,39,16.14,New,629.46
2024-05-30,East,Rep_1,Widget C,45,63.16,Repeat,2842.2
2024-08-10,North,Rep_6,Widget A,15,88.13,Repeat,1321.95
2024-03-21,West,Rep_4,Widget A,43,124.53,New,5354.79
2024-08-20,North,Rep_8,Premium Pack,29,61.48,New,1782.92
2024-01-02,North,Rep_8,Premium Pack,36,35.31,New,1271.16
2024-05-14,East,Rep_4,Widget A,13,24.48,New,318.24
2024-09-13,South,Rep_6,Premium Pack,32,188.7,Repeat,6038.4
2024-04-01,North,Rep_2,Widget C,7,89.16,Repeat,624.12
2024-09-16,North,Rep_6,Widget C,22,120.42,New,2649.24
2024-02-24,North,Rep_9,Widget A,28,184.64,New,5169.92
2024-11-16,South,Rep_6,Widget C,2,25.72,New,51.44
2024-06-01,South,Rep_1,Widget A,42,176.57,Repeat,7415.94
2024-11-23,North,Rep_7,Widget C,45,114.8,New,5166.0
2024-09-16,South,Rep_5,Widget B,6,41.32,Repeat,247.92
2024-11-07,South,Rep_4,Widget A,28,88.14,Repeat,2467.92
2024-04-11,South,Rep_2,Widget C,28,157.74,New,4416.72
2024-03-19,West,Rep_8,Widget B,44,101.27,New,4455.88
2024-07-10,North,Rep_2,Widget A,44,197.2,Repeat,8676.8
2024-03-23,South,Rep_4,Widget C,20,81.58,Repeat,1631.6
2024-10-03,West,Rep_10,Widget C,30,152.42,Repeat,2743.56
2024-09-28,East,Rep_1,Widget B,11,84.67,Repeat,931.37
2024-01-01,East,Rep_1,Premium Pack,28,167.54,Repeat,4691.12
2024-11-02,South,Rep_6,Premium Pack,25,118.13,Repeat,2953.25
2024-06-14,North,Rep_4,Widget B,39,22.07,New,860.73
2024-09-07,South,Rep_3,Widget B,33,17.0,New,561.0
2024-01-10,East,Rep_10,Widget A,1,35.43,Repeat,35.43
2024-02-27,North,Rep_4,Premium Pack,27,12.6,New,340.2
2024-07-04,North,Rep_2,Widget A,13,24.32,New,316.16
2024-06-06,East,Rep_9,Widget C,41,141.43,Repeat,5798.63
2024-05-02,West,Rep_4,Widget B,3,111.53,New,334.59
2024-01-30,West,Rep_10,Widget A,39,152.48,New,5946.72
2024-05-03,South,Rep_4,Widget B,6,183.5,New,1101.0
2024-10-17,North,Rep_4,Widget A,8,121.18,New,969.44
2024-02-10,South,Rep_6,Widget C,27,147.96,Repeat,3994.92
2024-02-13,North,Rep_3,Widget C,9,153.85,Repeat,1384.65
2024-09-05,East,Rep_10,Premium Pack,37,81.79,Repeat,3026.23
2024-02-05,North,Rep_1,Premium Pack,33,55.81,Repeat,1841.73
2024-09-29,North,Rep_5,Widget C,42,48.96,New,2056.32
2024-03-05,East,Rep_3,Widget A,44,57.77,New,2541.88
2024-03-06,West,Rep_3,Widget B,24,62.2,Repeat,1492.8
2024-12-03,East,Rep_9,Widget C,15,49.37,Repeat,740.55
2024-08-31,North,Rep_5,Widget C,32,176.86,New,5659.52
2024-10-08,East,Rep_3,Widget A,32,153.83,Repeat,4922.56
2024-03-25,North,Rep_2,Widget C,24,18.91,New,453.84
2024-05-15,West,Rep_1,Widget C,41,61.05,New,2503.05
2024-09-27,West,Rep_3,Widget A,49,14.22,New,418.068
2024-11-06,North,Rep_1,Widget C,49,104.65,Repeat,5127.85
2024-08-04,West,Rep_6,Premium Pack,12,100.48,New,1205.76
2024-04-18,East,Rep_4,Premium Pack,39,167.96,New,6550.44
2024-10-03,West,Rep_10,Premium Pack,2,68.48,New,82.176
2024-12-19,South,Rep_6,Premium Pack,3,165.11,New,495.33
2024-04-12,West,Rep_1,Widget C,49,193.92,New,9502.08
2024-06-08,South,Rep_3,Widget B,37,26.8,New,991.6
2024-07-23,East,Rep_5,Premium Pack,49,160.45,Repeat,7862.05
2024-12-09,West,Rep_1,Premium Pack,17,122.09,New,1245.318
2024-11-28,West,Rep_3,Widget C,49,101.21,New,2975.574
2024-07-10,West,Rep_7,Widget C,2,89.9,New,179.8
2024-08-12,East,Rep_9,Widget A,2,159.09,Repeat,318.18
2024-09-21,East,Rep_2,Premium Pack,28,131.48,Repeat,3681.44
2024-08-19,South,Rep_2,Widget A,23,162.96,New,3748.08
2024-03-02,North,Rep_8,Premium Pack,37,181.6,New,6719.2
2024-05-06,East,Rep_8,Widget B,32,127.28,New,4072.96
2024-04-25,West,Rep_6,Widget C,33,196.29,New,6477.57
2024-02-02,South,Rep_9,Widget C,1,125.54,Repeat,125.54
2024-06-22,West,Rep_10,Widget A,19,130.96,New,2488.24
2024-01-11,West,Rep_2,Widget A,2,115.41,Repeat,230.82
2024-10-28,East,Rep_8,Widget C,44,27.29,Repeat,1200.76
2024-10-10,North,Rep_9,Widget C,26,148.02,New,3848.52
2024-04-27,West,Rep_4,Widget C,32,114.01,Repeat,3648.32
2024-10-28,East,Rep_10,Premium Pack,6,95.67,New,574.02
2024-04-22,South,Rep_1,Premium Pack,32,182.99,New,5855.68
2024-01-04,West,Rep_9,Widget B,4,66.61,Repeat,266.44
2024-02-06,South,Rep_5,Premium Pack,11,109.48,Repeat,1204.28
2024-12-28,East,Rep_8,Widget C,17,142.55,Repeat,2423.35
2024-11-19,East,Rep_1,Premium Pack,38,161.33,New,6130.54
2024-01-31,East,Rep_1,Widget A,24,97.28,New,2334.72
2024-04-27,East,Rep_8,Widget C,5,170.0,Repeat,850.0
2024-02-04,East,Rep_7,Premium Pack,34,156.09,Repeat,5307.06
2024-01-17,North,Rep_7,Widget C,6,22.58,New,135.48
2024-06-18,South,Rep_2,Widget A,22,18.71,Repeat,411.62
2024-02-06,North,Rep_8,Widget A,11,127.95,Repeat,1407.45
2024-09-20,South,Rep_8,Premium Pack,48,76.01,Repeat,3648.48
2024-05-01,West,Rep_2,Widget C,16,49.73,Repeat,795.68
2024-05-22,West,Rep_2,Widget B,33,120.13,Repeat,3964.29
2024-12-08,South,Rep_6,Widget A,9,74.9,New,674.1
2024-09-05,West,Rep_10,Widget B,6,112.08,Repeat,403.488
2024-04-19,West,Rep_3,Premium Pack,16,97.42,Repeat,1558.72
2024-10-03,West,Rep_2,Widget A,29,121.11,New,2107.314
2024-03-08,North,Rep_3,Widget B,3,86.06,Repeat,258.18
2024-10-19,North,Rep_5,Widget A,20,142.56,New,2851.2
2024-10-22,East,Rep_10,Widget B,36,44.21,New,1591.56
2024-08-30,South,Rep_10,Widget C,19,142.34,Repeat,2704.46
2024-05-04,West,Rep_9,Widget C,26,88.22,New,2293.72
2024-08-30,South,Rep_6,Premium Pack,3,176.12,Repeat,528.36
2024-07-27,East,Rep_7,Widget A,19,107.89,New,2049.91
2024-04-07,East,Rep_10,Widget B,20,194.89,Repeat,3897.8
2024-02-18,West,Rep_9,Premium Pack,32,124.37,Repeat,3979.84
2024-02-19,East,Rep_5,Widget C,7,52.53,New,367.71
2024-12-03,West,Rep_8,Widget C,41,166.14,Repeat,4087.044
2024-08-08,East,Rep_9,Premium Pack,33,75.57,New,2493.81
2024-06-30,East,Rep_10,Widget A,40,76.05,Repeat,3042.0
2024-08-04,West,Rep_7,Widget B,39,16.04,New,625.56
2024-07-29,East,Rep_2,Widget C,18,114.26,Repeat,2056.68
2024-08-27,East,Rep_2,Premium Pack,40,111.54,New,4461.6
2024-01-28,East,Rep_9,Widget C,1,77.64,Repeat,77.64
2024-12-10,South,Rep_4,Widget C,11,179.9,Repeat,1978.9
2024-11-30,North,Rep_7,Widget B,28,34.46,New,964.88
2024-11-26,South,Rep_8,Widget A,25,72.72,New,1818.0
2024-02-20,East,Rep_4,Widget A,23,71.1,New,1635.3
2024-02-01,North,Rep_7,Widget B,31,27.54,Repeat,853.74
2024-07-25,South,Rep_6,Premium Pack,30,101.42,Repeat,3042.6
2024-06-22,South,Rep_8,Premium Pack,42,140.68,New,5908.56
2024-02-25,South,Rep_7,Widget A,35,107.21,New,3752.35
2024-05-07,West,Rep_7,Widget C,7,39.83,New,278.81
2024-04-08,East,Rep_2,Widget C,16,81.68,New,1306.88
2024-04-07,East,Rep_6,Premium Pack,26,10.49,Repeat,272.74
2024-10-01,North,Rep_7,Widget B,48,174.98,New,8399.04
2024-08-17,South,Rep_6,Widget C,49,26.06,Repeat,1276.94
2024-03-12,East,Rep_5,Premium Pack,2,123.48,Repeat,246.96
2024-08-04,South,Rep_6,Widget B,1,197.39,New,197.39
2024-04-03,East,Rep_3,Widget A,48,111.95,New,5373.6
2024-05-22,South,Rep_8,Widget B,12,185.57,New,2226.84
2024-08-24,East,Rep_2,Widget A,5,54.86,New,274.3
2024-05-07,North,Rep_2,Premium Pack,37,154.39,Repeat,5712.43
2024-02-08,South,Rep_2,Widget B,32,110.94,New,3550.08
2024-08-14,East,Rep_2,Premium Pack,9,146.9,New,1322.1
2024-10-08,North,Rep_7,Widget A,41,21.84,Repeat,895.44
2024-02-20,North,Rep_2,Widget C,35,38.07,New,1332.45
2024-01-26,East,Rep_6,Widget C,19,35.29,Repeat,670.51
2024-11-29,South,Rep_3,Widget A,48,140.56,Repeat,6746.88
2024-10-03,West,Rep_9,Widget C,16,170.44,Repeat,1636.224
2024-01-08,North,Rep_1,Widget C,3,152.43,Repeat,457.29
2024-02-17,North,Rep_10,Widget B,20,15.79,Repeat,315.8
2024-05-01,East,Rep_9,Widget B,24,174.77,Repeat,4194.48
2024-03-26,West,Rep_9,Widget C,33,77.29,Repeat,2550.57
2024-07-27,West,Rep_6,Widget B,24,85.46,Repeat,2051.04
2024-09-05,West,Rep_2,Widget A,11,29.93,Repeat,197.538
2024-09-03,East,Rep_7,Widget B,49,150.11,Repeat,7355.39
2024-04-19,South,Rep_6,Widget B,8,44.63,New,357.04
2024-07-24,North,Rep_7,Widget B,36,117.15,Repeat,4217.4
2024-01-31,East,Rep_1,Premium Pack,38,169.73,Repeat,6449.74
2024-03-25,West,Rep_5,Widget A,40,26.95,New,1078.0
2024-07-13,North,Rep_10,Widget C,20,111.71,Repeat,2234.2
2024-01-02,North,Rep_5,Widget C,35,54.31,Repeat,1900.85
2024-07-18,West,Rep_6,Premium Pack,48,75.16,Repeat,3607.68
2024-05-15,West,Rep_2,Widget B,25,100.05,New,2501.25
2024-08-20,North,Rep_10,Widget A,35,77.47,New,2711.45
2024-05-26,North,Rep_9,Widget A,25,133.28,New,3332.0
2024-08-04,South,Rep_4,Widget C,29,101.12,New,2932.48
2024-12-22,South,Rep_3,Premium Pack,18,121.0,Repeat,2178.0
2024-10-11,East,Rep_8,Premium Pack,46,150.0,Repeat,6900.0
2024-12-04,North,Rep_4,Premium Pack,18,115.97,Repeat,2087.46
2024-09-06,South,Rep_2,Premium Pack,2,121.44,New,242.88
2024-03-20,North,Rep_6,Widget A,35,117.25,New,4103.75
2024-04-07,West,Rep_9,Widget B,16,81.97,Repeat,1311.52
2024-05-31,South,Rep_6,Widget C,41,74.11,New,3038.51
2024-04-21,West,Rep_2,Widget A,36,180.93,Repeat,6513.48
2024-01-30,West,Rep_5,Premium Pack,33,125.44,New,4139.52
2024-10-23,West,Rep_10,Premium Pack,4,56.43,Repeat,135.432
2024-10-04,East,Rep_4,Widget C,33,104.67,Repeat,3454.11
2024-02-01,West,Rep_7,Widget B,14,72.77,Repeat,1018.78
2024-06-09,East,Rep_9,Widget B,21,187.4,Repeat,3935.4
2024-01-30,North,Rep_10,Widget B,48,11.43,Repeat,548.64
2024-01-26,North,Rep_10,Premium Pack,20,52.81,Repeat,1056.2
2024-10-26,South,Rep_9,Widget A,8,79.42,New,635.36
2024-09-01,South,Rep_1,Widget A,7,102.68,Repeat,718.76
2024-09-14,East,Rep_10,Widget B,3,171.66,New,514.98
2024-09-28,North,Rep_5,Widget C,17,26.7,New,453.9
2024-03-21,South,Rep_1,Widget B,33,163.11,Repeat,5382.63
2024-01-30,South,Rep_3,Widget B,48,20.57,New,987.36
2024-09-17,South,Rep_5,Widget C,12,170.04,New,2040.48
2024-02-11,North,Rep_5,Widget B,22,19.81,New,435.82
2024-04-05,South,Rep_6,Widget C,22,13.47,New,296.34
2024-02-05,North,Rep_6,Widget C,46,142.42,New,6551.32
2024-10-31,West,Rep_1,Widget A,30,199.48,New,3590.64
2024-02-04,West,Rep_3,Widget C,38,180.36,Repeat,6853.68
2024-12-11,West,Rep_3,Widget B,38,119.44,New,2723.232
2024-04-30,East,Rep_10,Widget C,45,184.31,New,8293.95
2024-07-25,North,Rep_7,Widget B,8,11.01,New,88.08
2024-03-02,South,Rep_2,Widget C,27,195.26,New,5272.02
2024-10-18,East,Rep_3,Widget A,27,103.24,New,2787.48
2024-05-06,East,Rep_1,Widget B,34,147.35,New,5009.9
2024-10-23,West,Rep_2,Widget B,21,165.96,Repeat,2091.096
2024-10-31,North,Rep_9,Widget B,30,146.51,Repeat,4395.3
2024-01-21,South,Rep_4,Widget C,33,111.66,New,3684.78
2024-11-13,East,Rep_7,Widget A,28,100.56,Repeat,2815.68
2024-02-11,South,Rep_7,Widget A,47,169.33,Repeat,7958.51
2024-08-02,West,Rep_8,Widget A,33,48.96,New,1615.68
2024-12-02,North,Rep_6,Widget A,5,193.92,New,969.6
2024-10-25,South,Rep_3,Widget C,48,145.08,Repeat,6963.84
2024-10-16,South,Rep_6,Widget B,19,47.91,New,910.29
2024-09-24,East,Rep_5,Premium Pack,4,149.89,New,599.56
2024-06-10,South,Rep_6,Widget A,35,110.67,Repeat,3873.45
2024-05-13,North,Rep_10,Premium Pack,49,144.37,Repeat,7074.13
2024-04-14,North,Rep_10,Widget C,17,155.88,New,2649.96
2024-12-08,South,Rep_2,Widget C,44,26.59,Repeat,1169.96
2024-06-09,East,Rep_1,Premium Pack,28,106.16,New,2972.48
2024-05-02,East,Rep_3,Widget B,30,187.08,New,5612.4
2024-05-15,West,Rep_3,Premium Pack,29,70.92,New,2056.68
2024-07-21,North,Rep_10,Widget C,46,122.84,New,5650.64
2024-03-08,West,Rep_1,Premium Pack,6,80.15,New,480.9
2024-12-09,East,Rep_2,Widget A,35,96.31,New,3370.85
2024-11-26,West,Rep_5,Widget A,41,114.23,Repeat,2810.058
2024-06-02,East,Rep_8,Widget B,37,114.3,Repeat,4229.1
2024-08-22,West,Rep_7,Premium Pack,24,48.33,Repeat,1159.92
2024-06-10,West,Rep_8,Premium Pack,29,140.07,Repeat,4062.03
2024-02-07,North,Rep_10,Premium Pack,49,26.69,New,1307.81
2024-01-05,North,Rep_8,Premium Pack,46,36.38,Repeat,1673.48
2024-08-22,West,Rep_7,Widget B,31,10.52,Repeat,326.12
2024-11-14,East,Rep_5,Widget C,35,32.17,Repeat,1125.95
2024-10-15,East,Rep_4,Widget B,33,99.9,New,3296.7
2024-02-21,North,Rep_9,Widget C,21,125.16,New,2628.36
2024-02-07,North,Rep_2,Widget C,32,160.91,Repeat,5149.12
2024-10-02,South,Rep_6,Widget C,23,30.27,New,696.21
2024-04-19,North,Rep_7,Premium Pack,33,171.64,New,5664.12
2024-09-16,East,Rep_2,Widget B,3,151.74,New,455.22
2024-05-15,North,Rep_5,Widget C,18,87.62,Repeat,1577.16
2024-03-08,South,Rep_10,Widget A,25,187.26,Repeat,4681.5
2024-06-27,West,Rep_8,Widget C,42,198.28,Repeat,8327.76
2024-02-05,West,Rep_9,Widget B,31,48.95,Repeat,1517.45
2024-05-05,East,Rep_5,Premium Pack,3,82.05,New,246.15
2024-07-08,South,Rep_1,Widget A,40,186.03,New,7441.2
2024-05-25,West,Rep_4,Widget C,46,147.1,New,6766.6
2024-03-21,West,Rep_7,Premium Pack,24,19.14,New,459.36
2024-08-12,North,Rep_10,Widget B,32,158.49,Repeat,5071.68
2024-10-05,West,Rep_1,Widget B,47,167.31,Repeat,4718.142
2024-12-26,East,Rep_1,Widget A,22,152.6,Repeat,3357.2
2024-06-03,West,Rep_4,Widget A,23,161.91,New,3723.93
2024-11-09,East,Rep_5,Widget C,2,166.78,New,333.56
2024-11-30,East,Rep_4,Premium Pack,27,45.42,New,1226.34
2024-09-27,North,Rep_3,Premium Pack,42,54.78,New,2300.76
2024-01-05,South,Rep_5,Widget B,2,130.41,Repeat,260.82
2024-12-07,East,Rep_5,Widget B,26,182.49,Repeat,4744.74
2024-10-10,West,Rep_6,Widget C,17,70.08,New,714.8159999999999
2024-06-02,West,Rep_2,Widget C,40,121.78,New,4871.2
2024-12-05,East,Rep_1,Widget B,33,139.77,Repeat,4612.41
2024-02-23,West,Rep_8,Widget B,9,95.87,New,862.83
2024-03-09,North,Rep_7,Premium Pack,43,145.62,New,6261.66
2024-05-15,West,Rep_3,Premium Pack,48,180.94,Repeat,8685.12
2024-02-29,North,Rep_3,Premium Pack,39,128.58,New,5014.62
2024-02-24,East,Rep_7,Widget C,29,112.56,New,3264.24
2024-10-10,East,Rep_9,Premium Pack,42,93.36,New,3921.12
